Task,Accuracy,Class 0 Precision,Class 1 Precision,Class 2 Precision,Class 0 Recall,Class 1 Recall,Class 2 Recall,Class 0 F1-Score,Class 1 F1-Score,Class 2 F1-Score,Class 0 Support,Class 1 Support,Class 2 Support,Macro Avg Precision,Macro Avg Recall,Macro Avg F1-Score,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score,Total Support
2,0.99,0.0,0.99,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,1934,1,0.33,0.33,0.33,0.99,0.99,0.99,1944
3,0.33,0.0,0.33,0.0,0.0,1.0,0.0,0.0,0.5,0.0,648,648,648,0.11,0.33,0.17,0.11,0.33,0.17,1944
